,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,PROP_AGE
0,2246,4,1004,131,1,1,3,0,1,0,0,2,0,4,3,4,4,380000,144400,7600000,44
1,6613,1,1986,26,2,1,5,0,0,0,0,0,3,4,4,2,3,760122,304049,21717770,11
2,1259,0,909,70,1,1,3,0,1,0,1,0,4,4,3,2,3,421094,92114,13159200,20
3,3720,6,1855,14,3,2,5,2,0,2,2,2,2,4,3,3,4,356321,77042,9630290,22
4,4357,4,1226,84,1,1,3,0,1,2,0,0,1,3,2,4,3,237000,74063,7406250,30
5,155,2,1220,36,2,1,4,4,0,0,2,1,3,4,2,3,3,409027,198316,12394750,5
6,6399,2,1167,137,1,1,3,4,0,2,0,1,4,3,2,2,2,263152,33955,8488790,28
7,6805,6,1847,176,3,2,5,2,0,0,0,0,5,2,4,2,3,604809,235204,16800250,10
8,2359,2,771,175,1,1,2,1,0,2,2,2,5,2,3,4,3,257578,33236,8308970,34
9,6767,6,1635,74,2,1,4,0,0,2,1,1,2,3,3,3,3,323346,121255,8083650,15
10,6705,2,1203,78,2,1,4,1,1,0,0,1,5,4,3,4,3,403326,119504,14938000,28
11,5024,2,1054,143,1,1,3,4,0,2,2,0,5,2,3,3,2,245693,141746,9449730,37
12,3844,2,1196,137,1,1,3,2,0,2,2,1,4,2,2,2,2,289554,35097,8774370,19
13,6579,0,1056,83,1,1,3,4,1,2,2,2,3,2,3,3,3,319141,37546,9386490,26
14,2844,6,1865,157,3,2,5,2,0,0,2,2,5,4,2,4,3,619987,294494,15499680,54
16,4229,4,1639,175,2,2,4,3,1,1,1,0,2,2,3,4,3,285648,77904,8656000,18
17,1410,2,796,134,1,1,2,1,1,0,0,1,4,3,4,4,4,316464,130951,10912550,36
18,5749,0,1136,69,1,1,3,3,1,2,0,2,0,4,2,2,3,323214,49725,8287550,30
19,939,1,1902,168,2,1,5,2,1,0,1,2,4,4,4,4,4,742113,212032,21203240,42
20,634,2,1069,53,1,1,3,0,1,2,2,2,5,2,2,4,3,283544,43622,10905530,4
21,5170,2,931,96,1,1,3,0,1,2,1,2,4,4,3,3,3,248021,27558,9185970,22
22,4820,3,2010,114,3,2,5,4,0,2,2,0,3,3,4,3,3,327762,262210,10925400,10
23,3229,2,1074,100,1,1,3,0,0,2,2,0,4,3,3,4,3,288821,86646,9627380,16
24,613,5,1972,111,2,1,5,1,0,2,2,1,3,4,4,2,3,487297,167073,13922760,5
25,200,5,1685,105,1,1,4,2,0,1,2,0,5,2,4,4,3,352830,176415,12601080,34
26,1558,0,1130,29,1,1,3,2,1,0,1,2,3,2,2,2,2,468417,53533,13383350,30
27,2840,4,1301,59,1,1,3,3,1,2,2,0,1,2,2,3,3,357283,71457,7939625,7
28,1865,0,730,185,1,1,2,1,1,1,1,0,4,2,4,4,4,265449,53090,8848285,39
29,509,5,1806,138,2,1,5,2,0,1,2,2,3,4,5,3,3,430852,113382,11338200,35
30,4918,1,1981,173,2,1,5,1,0,1,1,1,4,2,3,3,2,373300,218831,12872430,9
31,1881,0,868,15,1,1,3,3,0,2,2,0,4,2,2,2,2,325514,72336,9042050,10
32,1042,5,1721,117,1,1,4,1,1,2,1,2,5,2,2,2,2,416483,223116,14874380,20
33,6783,6,1755,16,2,1,4,1,1,2,0,0,0,4,4,4,4,306671,173780,10222380,19
34,4159,1,1709,130,1,1,4,2,0,2,2,0,3,4,3,4,4,452501,90500,12928590,6
35,3499,3,2114,46,3,2,5,1,1,0,2,0,3,2,3,3,3,632334,281037,17564820,21
36,3449,4,1226,180,1,1,3,3,0,1,0,2,0,4,3,4,4,154109,114339,4971250,27
37,2576,6,1648,111,2,1,4,2,1,2,2,2,1,4,2,2,2,275120,82536,9170660,13
38,1567,2,856,36,1,1,3,1,1,2,2,0,5,2,3,3,3,332269,103834,10383420,26
39,5072,0,904,52,1,1,3,1,0,0,1,1,5,3,3,2,3,348042,23203,11601400,40
40,756,2,1198,105,1,1,3,3,0,2,0,1,3,3,3,4,3,255727,98991,8249260,36
41,1699,4,931,16,1,1,3,1,0,0,0,2,0,4,4,2,3,291669,166668,6944500,18
42,4514,4,1290,86,1,1,3,1,1,1,0,2,3,3,2,4,3,364015,92940,7745000,48
43,3684,4,507,49,1,1,2,0,1,1,1,0,3,2,4,4,4,252032,74464,5728000,46
44,4109,3,2492,113,4,2,6,0,0,0,2,2,4,4,4,3,4,917550,224706,18725520,16
45,1782,4,851,105,1,1,2,4,0,1,0,1,1,4,3,2,3,167896,39295,3572250,29
47,4204,1,1710,15,1,1,4,3,1,0,0,0,3,2,4,2,2,808639,161728,20215970,11
48,2859,4,1412,28,2,2,4,1,0,1,1,0,4,4,2,3,3,251370,192717,8379000,28
49,6715,0,779,51,1,1,2,3,0,1,2,1,1,3,4,2,3,190463,31744,5290635,9
50,264,5,1655,19,1,1,4,0,0,2,0,0,3,2,4,3,3,376468,238430,12548930,34
51,3645,4,940,167,1,1,3,1,0,1,0,2,3,2,2,4,3,263599,64435,5857750,49
52,1172,3,1667,126,2,1,4,4,1,1,2,2,5,4,2,5,4,364810,268243,10729700,5
53,5461,3,1926,49,3,2,5,2,1,0,2,2,5,3,2,4,3,816325,153061,17006780,9
54,6058,0,718,75,1,1,2,4,1,2,1,1,1,2,3,3,3,211662,55701,5570050,30
55,1349,4,545,154,1,1,2,4,0,2,1,1,3,3,2,3,2,165738,88651,3854375,30
56,4442,4,1249,25,1,1,3,1,1,2,1,0,3,2,3,3,3,318010,120328,8594875,36
57,584,5,1894,187,2,1,5,4,1,1,2,0,4,2,3,4,3,406478,162591,13549250,45
58,1452,4,1469,200,2,2,4,0,0,0,2,1,1,4,2,2,2,284423,132731,9480750,5
59,5474,0,916,32,1,1,3,3,1,1,1,1,0,3,3,3,3,228053,23390,5847520,28
60,5719,2,934,11,1,1,3,1,1,1,2,2,5,3,4,3,3,310749,58265,9710900,22
61,2253,4,1691,100,2,2,4,0,0,1,2,0,5,4,3,3,3,319558,178576,9398750,31
62,2291,4,1236,36,1,1,3,3,0,0,2,2,2,3,3,2,2,334638,114481,8806250,39
63,6097,5,1577,23,1,1,4,4,1,2,2,2,3,3,4,3,4,302183,193397,12087330,36
64,2642,1,1915,13,2,1,5,4,1,2,2,0,3,4,2,4,3,354391,170107,14175620,41
65,857,1,1600,154,1,1,4,2,1,1,1,0,3,3,2,2,3,309941,166891,11920820,21
66,1664,6,1579,58,2,1,4,0,1,0,1,2,2,4,2,2,2,467766,240565,13364730,24
67,5516,0,1260,89,2,2,4,4,0,2,2,1,0,3,4,4,4,256150,34615,6922975,25
68,4047,0,1021,176,1,1,3,3,0,0,2,2,2,3,4,2,3,361868,175098,11673175,5
69,1591,3,2174,48,3,2,5,2,1,2,0,2,5,2,2,2,2,548929,313674,13069740,23
71,3693,0,668,177,1,1,2,0,1,0,2,0,2,4,2,3,3,329074,102836,10283575,5
72,6795,6,1724,116,2,1,4,0,1,1,1,1,4,3,2,2,2,358259,152260,8956480,54
73,1962,0,890,116,1,1,3,0,1,1,2,2,1,2,4,5,4,251557,43124,7187350,30
74,6281,0,1218,51,2,2,4,3,0,0,0,1,2,4,3,3,3,377246,138323,12574850,30
75,2501,1,1792,41,1,1,4,2,1,1,1,0,5,2,2,2,2,514532,250313,13906270,21
76,1194,4,1378,192,2,2,4,1,0,2,2,0,5,4,2,2,3,297525,208268,9917500,9
77,4607,4,898,72,1,1,3,4,1,0,2,2,3,2,3,2,2,345190,215744,8629750,29
78,1871,1,1928,148,2,1,5,4,0,1,0,1,3,3,4,2,3,466682,105003,11667050,10
79,5489,2,1233,24,2,1,4,0,0,1,2,0,5,2,2,4,2,245429,107989,9817150,33
80,6214,6,1618,100,2,1,4,1,1,2,2,2,1,4,4,4,4,370522,92631,9263050,40
81,1892,4,627,49,1,1,2,2,0,1,2,0,5,4,2,2,3,223975,92225,6587500,28
82,6879,6,1563,43,2,1,4,2,0,1,2,0,5,4,4,2,3,303780,195987,9799360,28
83,4577,4,1693,187,2,2,4,3,1,0,2,0,1,3,2,3,3,384045,166420,12801500,6
84,4926,5,1522,85,1,1,4,4,0,0,0,0,4,4,3,3,3,506181,174545,17454510,43
85,5515,0,1090,171,1,1,3,4,1,2,2,0,3,3,2,2,2,373632,98324,9832420,28
87,4528,5,1687,73,1,1,4,0,0,2,2,2,3,4,4,2,3,411733,224582,12476770,13
88,5390,0,692,62,1,1,2,3,1,0,0,2,3,4,4,5,4,394491,124576,10381355,37
89,5563,5,1518,145,1,1,4,2,1,0,0,2,3,3,3,4,3,457606,158402,17600240,37
90,5678,0,1025,125,1,1,3,4,0,0,2,2,2,2,2,2,2,349916,142153,10934875,25
91,3237,3,2170,121,3,2,5,2,1,1,2,0,4,3,4,4,4,593864,284560,12372160,8
92,2177,2,969,70,1,1,3,2,1,0,1,1,3,3,2,4,3,337463,146234,11248750,17
93,5739,3,1546,129,2,1,4,0,0,0,0,0,5,2,4,2,3,441475,142411,14241140,27
94,4272,3,1709,6,2,1,4,0,1,1,2,2,4,4,3,2,3,467388,233694,10160600,20
95,651,5,1659,103,1,1,4,1,1,2,2,1,4,3,2,3,3,433251,216625,13539080,18
96,42,2,755,8,1,1,2,3,0,0,1,0,5,3,4,2,3,289649,42911,10727750,33
97,6054,0,1182,50,1,1,3,3,1,1,0,1,4,3,3,3,3,374948,39468,9867055,17
98,1127,0,735,67,1,1,2,1,0,0,2,1,3,2,4,4,3,284361,132702,9478710,14
99,635,2,1089,0,1,1,3,3,1,1,1,2,4,2,2,3,2,235305,45251,9050200,32
100,6936,6,1534,6,2,1,4,4,1,2,1,2,1,4,4,2,3,284552,63234,7904210,53
101,6221,1,1622,147,1,1,4,2,1,1,1,0,4,4,3,4,4,378840,209015,13063450,5
102,5411,3,2198,71,3,2,5,4,1,2,2,0,5,4,4,3,4,679249,122265,13584980,21
103,279,2,1293,34,2,1,4,3,0,0,1,1,4,3,2,3,2,419714,157393,13116050,39
104,4296,3,1641,178,2,1,4,4,0,2,0,0,4,4,4,3,3,460580,190239,10012600,29
105,6863,6,1950,185,3,2,5,1,1,2,2,2,4,5,4,3,4,411601,84741,12105920,41
106,1847,4,1245,106,1,1,3,4,0,2,2,2,0,4,2,3,3,201653,113123,4918375,28
107,4444,2,905,144,1,1,3,2,0,2,1,0,3,3,3,4,3,223393,77032,7703200,33
108,1179,3,1496,135,2,1,4,2,0,1,2,0,3,3,3,2,3,265641,137105,8569080,14
109,6839,6,1892,38,3,2,5,1,1,1,1,0,5,3,3,4,3,449425,133613,12146620,36
110,3288,6,1517,40,2,1,4,2,0,0,1,2,1,4,4,2,3,408507,116716,11671620,11
112,4739,6,1755,142,2,1,4,2,1,0,2,0,2,4,4,3,4,581720,193907,14915900,35
113,632,1,1622,79,1,1,4,1,1,1,2,2,5,2,3,2,2,406434,243860,13547790,7
114,611,2,1092,89,1,1,3,3,0,2,0,1,3,2,2,2,2,246391,57491,8213040,4
115,381,2,821,34,1,1,3,1,0,1,2,2,3,3,4,2,3,182600,65736,7304000,8
116,5556,3,1694,72,2,1,4,2,0,2,2,0,4,4,2,3,3,353291,114300,10390900,11
117,3689,1,1809,177,2,1,5,2,0,0,0,1,4,3,3,2,2,518585,230482,19206870,26
118,1571,4,1401,20,2,2,4,4,1,2,0,0,4,3,4,4,4,438477,229204,9965375,14
119,2487,4,1470,99,2,2,4,0,0,2,2,1,3,3,3,3,3,302694,172968,7207000,25
120,639,2,798,166,1,1,2,4,0,0,2,2,3,2,2,3,2,253975,145129,9070550,37
121,5837,2,764,137,1,1,2,4,0,1,1,1,3,3,3,2,2,158766,90723,5670200,8
